datum_gezien,gepubliceerd,categorie,bron,feed,titel,url
2026-08-31,2026-02-25,who,WHO News,WHO News,"WHO Director-General visits Jordan to recognize strong collaboration on health system delivery, emergency relief and advancing mental health",https://www.who.int/news/item/25-02-2026-who-director-general-visits-jordan-to-recognize-strong-collaboration-on-health-system-delivery--emergency-relief-and-advancing-mental-health
2026-08-31,2026-01-24,who,WHO News,WHO News,WHO statement on notification of withdrawal of the United States,https://www.who.int/news/item/24-01-2026-who-statement-on-notification-of-withdrawal-of-the-united-states
2026-08-31,2025-07-30,who,WHO News,WHO News,Paying tribute to David Nabarro,https://www.who.int/news/item/30-07-2025-paying-tribute-to-david-nabarro
2026-08-31,2025-07-23,who,WHO News,WHO News,Timor-Leste certified malaria-free by WHO,https://www.who.int/news/item/24-07-2025-timor-leste-certified-malaria-free-by-who
2026-08-31,2025-05-24,who,WHO News,WHO News,African Union and World Health Organization renew strategic partnership to drive impact and strengthen health systems in Africa,https://www.who.int/news/item/24-05-2025-world-health-organization-and-african-union-renew-strategic-partnership-to-drive-impact-and-strengthen-health-systems-in-africa
2026-08-31,2025-05-19,who,WHO News,WHO News,WHO’s strategic engagement with philanthropies: advancing global health and resilient health systems,https://www.who.int/news/item/19-05-2025-who-s-strategic-engagement-with-philanthropies-advancing-global-health-and-resilient-health-systems
2026-08-31,2025-04-10,who,WHO News,WHO News,Worldwide rally for maternal and newborn health marks World Health Day 2025,https://www.who.int/news/item/10-04-2025-worldwide-rally-for-maternal-and-newborn-health-marks-world-health-day-2025
2026-08-31,2025-04-01,who,WHO News,WHO News,Strengthening public health across Lebanon with EIB Global,https://www.who.int/news/item/06-03-2025-strengthening-public-health-across-lebanon-with-eib-global
2026-08-31,2025-03-11,who,WHO News,WHO News,"Frank, in-depth discussion as Belgium and WHO map ahead priorities for collaboration",https://www.who.int/news/item/11-03-2025-frank--in-depth-discussion-as-belgium-and-who-map-ahead-priorities-for-collaboration
2026-08-31,2025-03-07,who,WHO News,WHO News,WHO and Switzerland cement cooperation until 2028,https://www.who.int/news/item/07-03-2025-who-and-switzerland-cement-cooperation-until-2028
2026-08-31,2025-03-06,who,WHO News,WHO News,WHO and the Kingdom of Saudi Arabia sign agreements in support of health priorities,https://www.who.int/news/item/24-02-2025-who-and-the-kingdom-of-saudi-arabia-sign-agreements-in-support-of-health-priorities
2026-08-31,2025-01-21,who,WHO News,WHO News,WHO comments on United States’ announcement of intent to withdraw,https://www.who.int/news/item/21-01-2025-who-comments-on-united-states--announcement-of-intent-to-withdraw
2026-08-31,2026-08-31,who,WHO Alert,WHO Alert,Closing the Immunization Access Gap in South Sudan using Geospatial Intelligence to ... - ReliefWeb,https://reliefweb.int/report/south-sudan/closing-immunization-access-gap-south-sudan-using-geospatial-intelligence-reach-underserved-children-case-unity-state
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,AI models are being used to track zoonotic diseases. Will they prevent the next pandemic? | Nature,https://www.nature.com/articles/d41586-026-02684-1
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,"Heart, body and mind—the first ESC Guidelines highlight the many benefits of cardiac rehabilitation",https://medicalxpress.com/news/2026-08-heart-body-mind-esc-guidelines.html
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,World Health Organization Collaborating on Crisis Response - Hospital News,https://www.hospitalnews.com/advancing-care-beyond-our-borders-sunnybrooks-role-as-a-world-health-organization-collaborating-centre-for-critical-care-and-emergencies/
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,WHO HRP Consultant (Home Based)– Sexual and Reproductive Health Research ...,https://www.globalsouthopportunities.com/2026/08/30/health-33/
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,"New global definition of myocardial infarction aims to improve diagnosis, treatment and ...",https://medicalxpress.com/news/2026-08-global-definition-myocardial-infarction-aims.html
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,WHO in Cameroon - Annual Report 2016 - WHO | Regional Office for Africa,https://www.afro.who.int/countries/cameroon/publication/who-cameroon-annual-report-2016
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,The Gazan amputees turning to football - Financial Times,https://www.ft.com/content/16a76475-cb9d-4fa5-acb2-cf353d85b7ca?syn-25a6b1a6=1
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,Webinar Beyond Silos: Forming Interprofessional Health Teams - YouTube,https://www.youtube.com/watch?v=QPT0VPMelWw
2026-08-31,2026-08-30,who,WHO Alert,WHO Alert,Yemen's newly launched National Health Strategy 2026–2030 aims to build a resilient ...,https://www.emro.who.int/yemen/news/yemens-newly-launched-national-health-strategy-2026-2030-aims-to-build-a-resilient-equitable-and-sustainable-health-system.html
